species_searched,species,longitude,latitude,source,date,key
Chrysocyon brachyurus,Chrysocyon brachyurus,-47.9169006347656,-19.0386009216309,specieslink,1997,MCN-M 1790
Chrysocyon brachyurus,Chrysocyon brachyurus,-45.6856002807617,-19.801399230957,specieslink,2007,MCN-M 1882
Chrysocyon brachyurus,Chrysocyon brachyurus,-65.5,-14,specieslink,NA,27905
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1932,28615
Chrysocyon brachyurus,Chrysocyon brachyurus,-55.65625,-15.3469,specieslink,NA,42147
Chrysocyon brachyurus,Chrysocyon brachyurus,-65.75781,-38.3952,specieslink,NA,51456
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,NA,4920
Chrysocyon brachyurus,Chrysocyon brachyurus,-72.75,2.58333333333333,specieslink,NA,4917
Chrysocyon brachyurus,Chrysocyon brachyurus,-40.6003,-19.9356,specieslink,1989,0007782
Chrysocyon brachyurus,Chrysocyon brachyurus,-54.9130064466,-22.2460174519,specieslink,1998,MVZ:Mamm:198039
Chrysocyon brachyurus,Chrysocyon brachyurus,-52.193889,-14.178611,specieslink,2014,CM776
Chrysocyon brachyurus,Chrysocyon brachyurus,-52.302722,-14.524611,specieslink,2013,CM684
Chrysocyon brachyurus,Chrysocyon brachyurus,-52.303556,-14.805611,specieslink,2014,CM770
Chrysocyon brachyurus,Chrysocyon brachyurus,-52.8947,-14.5156,specieslink,2000,CZJR097
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,2012,MCN-M 3200
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,2015,MCN-M 3358
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,2007,MCN-M 1881
Chrysocyon brachyurus,Chrysocyon brachyurus,-44.9352989196777,-19.2243995666504,specieslink,1989,MCN-M 1883
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1989,MHNCI 2708
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1996,MHNCI 3729
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,NA,MHNCI 3822
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,2000,MHNCI 4244
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,2002,MHNCI 4247
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1992,NA
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1987,MHNCI 2699
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,NA,MHNCI 3818
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1999,MHNCI 4246
