id,species_searched,species,longitude,latitude,source,date,key,temporal_filter,precision_filter,.val,.equ,.zer,.cap,.cen,.sea,.urb,.gbf,.inst,.dpl,.summary
27,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.900002,-21.6667,specieslink,1991,17272,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28,Chrysocyon brachyurus,Chrysocyon brachyurus,-48.883301,-24.133301,specieslink,2003,17296,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
29,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.178482915,-23.282516915,specieslink,2017,22577,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
30,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.2719599187,-23.2232252625,specieslink,2017,22580,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
31,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.3663908819,-23.2002251166,specieslink,2017,22581,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
32,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.5677437396,-23.2740308716,specieslink,2017,22583,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
33,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.3781827397,-23.1469472056,specieslink,2017,22589,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
34,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.692924259,-23.4946261458,specieslink,2017,22593,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
35,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.699101,-22.2862,specieslink,2003,10446,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36,Chrysocyon brachyurus,Chrysocyon brachyurus,-42.942777777778,-21.120277777778,specieslink,1992,1515,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37,Chrysocyon brachyurus,Chrysocyon brachyurus,-54.9125,-22.2455555555556,specieslink,1998,1555,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
38,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.9169006347656,-19.0386009216309,specieslink,1997,MCN-M 1790,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.6856002807617,-19.801399230957,specieslink,2007,MCN-M 1882,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40,Chrysocyon brachyurus,Chrysocyon brachyurus,-54.9130064466,-22.2460174519,specieslink,1998,MVZ:Mamm:198039,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41,Chrysocyon brachyurus,Chrysocyon brachyurus,-52.193889,-14.178611,specieslink,2014,CM776,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
42,Chrysocyon brachyurus,Chrysocyon brachyurus,-52.302722,-14.524611,specieslink,2013,CM684,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
